4220896	8	4096	5	1398406382.756832267	1398406382.757233725	1398406382.757241486	1398406382.757950028
49592384	8	4096	5	1398406382.760605548	1398406382.760636382	1398406382.760655705	1398406382.761361590
49592392	17	8704	5	1398406382.762147944	1398406382.762182267	1398406382.762199194	1398406382.763593934
49592384	8	4096	5	1398406382.763819611	1398406382.763837996	1398406382.763849507	1398406382.764582944
51668832	8	4096	5	1398406382.782375600	1398406382.782410080	1398406382.782433361	1398406382.783276121
4220904	72	36864	5	1398406382.783437684	1398406382.783471330	1398406382.783484090	1398406382.787775028
4220976	8	4096	5	1398406382.787895080	1398406382.787994767	1398406382.788003621	1398406382.788676226
51336704	25	12800	5	1398406382.838823569	1398406382.838885861	1398406382.838914142	1398406382.840444194
4220984	72	36864	5	1398406382.840823569	1398406382.840868934	1398406382.840882528	1398406382.843753413
4221056	8	4096	5	1398406382.843871798	1398406382.843972059	1398406382.843979767	1398406382.844720705
51336704	8	4096	5	1398406382.844881903	1398406382.844910028	1398406382.844920600	1398406382.845601121
51336712	17	8704	5	1398406382.845845757	1398406382.845890600	1398406382.845906225	1398406382.847282371
51336704	8	4096	5	1398406382.847510652	1398406382.847535548	1398406382.847546277	1398406382.848255913
51336704	25	12800	5	1398406383.070861225	1398406383.070918621	1398406383.073347475	1398406383.075384455
4221064	16	8192	5	1398406383.075730861	1398406383.075759455	1398406383.075771017	1398406383.076483100
4221080	8	4096	5	1398406383.076567475	1398406383.076655132	1398406383.076663048	1398406383.077330080
51668840	8	4096	1	1398406383.076722475	1398406383.076745288	1398406383.077366746	1398406383.078077996
51336704	8	4096	1	1398406383.077476069	1398406383.077508205	1398406383.078122736	1398406383.078819663
4221088	56	28672	1	1398406383.078276278	1398406383.078326538	1398406383.078863986	1398406383.080789403
4221144	8	4096	5	1398406383.080912267	1398406383.081077944	1398406383.081087215	1398406383.081758153
50282016	17	8704	1	1398406383.081080757	1398406383.081106746	1398406383.081801955	1398406383.083178153
51336704	8	4096	5	1398406383.083464871	1398406383.083494194	1398406383.083511434	1398406383.084223673
49592384	25	12800	5	1398406383.128936121	1398406383.129214819	1398406383.129250132	1398406383.131409975
4221152	80	40960	5	1398406383.132047788	1398406383.132096225	1398406383.132118882	1398406383.136617059
4221232	8	4096	5	1398406383.136793777	1398406383.136908413	1398406383.136918934	1398406383.137547059
49592384	8	4096	5	1398406383.137794194	1398406383.137826226	1398406383.137844298	1398406383.138551851
49592392	17	8704	5	1398406383.138852788	1398406383.138897371	1398406383.138920601	1398406383.140324246
49592384	8	4096	5	1398406383.140623725	1398406383.140649090	1398406383.140665600	1398406383.141411278
51668848	8	4096	5	1398406383.202457371	1398406383.202504038	1398406383.202533569	1398406383.203359715
4221240	64	32768	5	1398406383.203577163	1398406383.203623465	1398406383.203642736	1398406383.207414090
4221304	8	4096	5	1398406383.207550704	1398406383.207793569	1398406383.207803726	1398406383.208501173
51668856	8	4096	5	1398406383.237405600	1398406383.237447788	1398406383.237475340	1398406383.238282892
4221312	80	40960	5	1398406383.238504559	1398406383.238553882	1398406383.238573205	1398406383.242195809
4221392	8	4096	5	1398406383.242363621	1398406383.242480080	1398406383.242491798	1398406383.243188673
